GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tp-foyer,tn.esprit.tpfoyer.service,BlocServiceImpl,0,94,0,6,0,21,0,12,0,9
tp-foyer,tn.esprit.tpfoyer.service,EtudiantServiceImpl,0,33,0,0,0,7,0,6,0,6
tp-foyer,tn.esprit.tpfoyer.service,ChambreServiceImpl,5,51,0,0,1,14,1,7,1,7
tp-foyer,tn.esprit.tpfoyer.service,ReservationServiceImpl,0,34,0,0,0,7,0,6,0,6
tp-foyer,tn.esprit.tpfoyer.service,UniversiteServiceImpl,0,28,0,0,0,6,0,5,0,5
tp-foyer,tn.esprit.tpfoyer.service,FoyerServiceImpl,0,28,0,0,0,6,0,5,0,5
tp-foyer,tn.esprit.tpfoyer,TpFoyerApplication,5,3,0,0,2,1,1,1,1,1
tp-foyer,tn.esprit.tpfoyer.control,UniversiteRestController,0,32,0,0,0,10,0,5,0,5
tp-foyer,tn.esprit.tpfoyer.control,ChambreRestController,0,44,0,0,0,13,0,7,0,7
tp-foyer,tn.esprit.tpfoyer.control,BlocRestController,0,42,0,0,0,12,0,7,0,7
tp-foyer,tn.esprit.tpfoyer.control,ReservationRestController,0,38,0,0,0,11,0,6,0,6
tp-foyer,tn.esprit.tpfoyer.control,EtudiantRestController,8,32,0,0,2,10,1,5,1,5
tp-foyer,tn.esprit.tpfoyer.control,FoyerRestController,0,32,0,0,0,10,0,5,0,5
tp-foyer,tn.esprit.tpfoyer.entity,TypeChambre,0,21,0,0,0,2,0,1,0,1
tp-foyer,tn.esprit.tpfoyer.config,ConfigAOP,39,0,0,0,13,0,5,0,5,0
